"cohort","age","period","window_end_period","loans_at_risk","defaults_3m","rd3m","q","y_logit","mu","residual_after_mean","age_effect","residual_after_age","cohort_effect","residual_after_cohort","period_effect","residual_after_period","fitted_logit","fitted_rd3m","reconstructed_q","risk_base","risk_after_age","risk_after_cohort","risk_after_period","contribution_age","contribution_cohort","contribution_period","contribution_residual","reconstructed_rd3m"
"2018-01-01",11,"2018-12-01","2019-02-01",813,10,0.01230012300123,0.0128992628992629,-4.33760192801409,-3.80673473380674,-0.530867194207349,0.289264109856582,-0.820131304063931,-0.903694064077654,0.0835627600137235,0.112416524094737,-0.0288537640810139,-4.30874816393308,0.0132718651403433,0.0128992628992629,0.0217375941071289,0.0288192054610655,0.0118774546483037,0.0132718651403433,0.00708161135393656,-0.0169417508127618,0.00139441049203966,-0.000971742139113311,0.01230012300123
"2018-01-01",12,"2019-01-01","2019-03-01",781,11,0.0140845070422535,0.0147058823529412,-4.20469261939097,-3.80673473380674,-0.397957885584225,0.294297372332265,-0.69225525791649,-0.903694064077654,0.211438806161164,0.225471639234264,-0.0140328330731,-4.19065978631787,0.0149106035654512,0.0147058823529412,0.0217375941071289,0.0289604143169464,0.0119366722967759,0.0149106035654512,0.00722282020981744,-0.0170237420201705,0.00297393126867526,-0.000826096523197629,0.0140845070422535
"2018-01-01",13,"2019-02-01","2019-04-01",751,8,0.0106524633821571,0.0113031914893617,-4.47130260240394,-3.80673473380674,-0.664567868597198,0.303514845354915,-0.968082713952112,-0.903694064077654,-0.064388649874458,0.0940197986978563,-0.158408448572314,-4.31289415383162,0.0132176798281132,0.0113031914893617,0.0217375941071289,0.0292207539062206,0.0120458754078996,0.0132176798281132,0.0074831597990917,-0.0171748784983211,0.00117180442021369,-0.00256521644595612,0.0106524633821571
"2018-01-01",14,"2019-03-01","2019-05-01",732,6,0.00819672131147541,0.00886766712141883,-4.71643630610875,-3.80673473380674,-0.909701572302005,0.282992614882479,-1.19269418718448,-0.903694064077654,-0.28900012310683,0.099039815618788,-0.388039938725618,-4.32839636738313,0.0130170032440968,0.00886766712141882,0.0217375941071289,0.028644192466134,0.0118040748705583,0.0130170032440968,0.0069065983590051,-0.0168401175955757,0.00121292837353849,-0.00482028193262138,0.00819672131147541
"2018-01-01",15,"2019-04-01","2019-06-01",703,5,0.00711237553342817,0.0078125,-4.84418708645859,-3.80673473380674,-1.03745235265185,0.290285959980498,-1.32773831263235,-0.903694064077654,-0.424044248554693,0.13539683365246,-0.559441082207153,-4.28474600425144,0.0135898908444543,0.0078125,0.0217375941071289,0.0288478194500509,0.0118894534542134,0.0135898908444543,0.00711022534292199,-0.0169583659958375,0.00170043739024089,-0.00647751531102614,0.00711237553342817
"2018-01-01",16,"2019-05-01","2019-07-01",680,5,0.00735294117647059,0.00807635829662261,-4.81070506516183,-3.80673473380674,-1.00397033135509,0.255943184868061,-1.25991351622315,-0.903694064077654,-0.356219452145494,0.125605706799516,-0.48182515894501,-4.32887990621682,0.0130107924121155,0.00807635829662261,0.0217375941071289,0.02790109687394,0.0114926814060121,0.0130107924121155,0.00616350276681102,-0.0164084154679279,0.0015181110061034,-0.00565785123564491,0.00735294117647059
"2018-01-01",17,"2019-06-01","2019-08-01",658,7,0.0106382978723404,0.0113808801213961,-4.46437437602263,-3.80673473380674,-0.657639642215893,0.264080020949498,-0.921719663165392,-0.903694064077654,-0.0180255990877374,0.311937835130062,-0.329963434217799,-4.13441094180484,0.0157597478375645,0.0113808801213961,0.0217375941071289,0.028122639040942,0.0115854891331482,0.0157597478375645,0.00638504493381307,-0.0165371499077938,0.00417425870441633,-0.00512144996522411,0.0106382978723404
"2018-01-01",18,"2019-07-01","2019-09-01",643,10,0.015552099533437,0.016304347826087,-4.09988474259772,-3.80673473380674,-0.293150008790975,0.253616829857505,-0.54676683864848,-0.903694064077654,0.356927225429174,0.379299877568343,-0.0223726521391686,-4.07751209045855,0.0166670821865871,0.016304347826087,0.0217375941071289,0.0278380692675519,0.0114662826305916,0.0166670821865871,0.00610047516042296,-0.0163717866369603,0.00520079955599553,-0.00111498265315013,0.015552099533437
"2018-01-01",19,"2019-08-01","2019-10-01",627,11,0.0175438596491228,0.018312101910828,-3.98171128723519,-3.80673473380674,-0.174976553428453,0.241048700025503,-0.416025253453956,-0.903694064077654,0.487668810623698,0.331113081031449,0.156555729592249,-4.13826701682744,0.0157000463521514,0.018312101910828,0.0217375941071289,0.0274999475031061,0.0113246965008872,0.0157000463521514,0.00576235339597715,-0.0161752510022189,0.00437534985126422,0.00184381329697144,0.0175438596491228
"2018-01-01",20,"2019-09-01","2019-11-01",607,12,0.0197693574958814,0.0205592105263158,-3.8636727444871,-3.80673473380674,-0.0569380106803581,0.19016434378928,-0.247102354469638,-0.903694064077654,0.656591709608016,0.279939824453181,0.376651885154835,-4.24032462964194,0.0141984168727787,0.0205592105263158,0.0217375941071289,0.0261713416691865,0.0107689124662232,0.0141984168727787,0.00443374756205756,-0.0154024292029633,0.00342950440655557,0.00557094062310266,0.0197693574958814
"2018-01-01",21,"2019-10-01","2019-12-01",583,8,0.0137221269296741,0.0145547945205479,-4.21517306466567,-3.80673473380674,-0.408438330858925,0.159736706239509,-0.568175037098435,-0.903694064077654,0.33551902697922,0.327238288421553,0.00828073855766642,-4.22345380322333,0.0144365004805831,0.014554794520548,0.0217375941071289,0.0254069305137959,0.0104495473338582,0.0144365004805831,0.00366933640666691,-0.0149573831799376,0.00398695314672491,-0.000714373550909038,0.0137221269296741
