"period","base","age_component","cohort_component","period_component","residual_component","fitted_rd3m","reconstructed_rd3m","loans_at_risk","defaults_3m","observed_rd3m"
"2018-02-01",0.0217375941071289,-0.0177242144158541,-0.00238378688594843,0.001279800378381,-0.000413552917484436,0.0029093931837074,0.00249584026622296,1202,3,0.00249584026622296
"2018-03-01",0.0217375941071289,-0.0145532398484666,-0.0041949046908724,-0.000976303620537086,0.000772369373081371,0.00201314594725289,0.00278551532033426,2154,6,0.00278551532033426
"2018-04-01",0.0217375941071289,-0.0118242510394011,-0.00569938199589985,0.00132524137217873,-0.000437161627680145,0.00553920244400668,0.00510204081632653,3136,16,0.00510204081632653
"2018-05-01",0.0217375941071289,-0.0101735472086214,-0.00648860904027759,-0.000335118668749038,-0.000445401508736469,0.00474031918948092,0.00429491768074445,4191,18,0.00429491768074445
"2018-06-01",0.0217375941071289,-0.00887101005991608,-0.00700206978843316,-0.00207352855031202,0.000996452054841394,0.00379098570846768,0.00478743776330908,5222,25,0.00478743776330908
"2018-07-01",0.0217375941071289,-0.00765703570591596,-0.00747142350063829,-0.00221244081440454,8.18727724350844e-05,0.00439669408617016,0.00447856685860524,6252,28,0.00447856685860525
"2018-08-01",0.0217375941071289,-0.00658866085550576,-0.00779675467135915,-0.00188641718824616,-1.98798399416399e-05,0.00546576139201788,0.00544588155207624,7345,40,0.00544588155207624
"2018-09-01",0.0217375941071289,-0.00574293495207493,-0.00791594092139931,-0.00286469604176935,-5.21263683283389e-05,0.00521402219188535,0.00516189582355701,8524,44,0.00516189582355702
"2018-10-01",0.0217375941071289,-0.00488781433735961,-0.00786986467123912,-0.00145321598404183,-0.000702172178287369,0.00752669911448838,0.00682452693620101,9671,66,0.00682452693620101
"2018-11-01",0.0217375941071289,-0.00445689046401576,-0.00754114178672702,-0.000413681505875995,0.000460436762077371,0.00932588035051017,0.00978631711258754,11138,109,0.00978631711258754
"2018-12-01",0.0217375941071289,-0.00363118458251995,-0.00745617657917776,0.00125051140232909,0.0014895920239425,0.0119007443477603,0.0133903363717028,12397,166,0.0133903363717028
"2019-01-01",0.0217375941071289,-0.00316567337747171,-0.00729226574484928,0.00280768649710159,9.08992588311962e-05,0.0140873414819095,0.0141782407407407,13824,196,0.0141782407407407
"2019-02-01",0.0217375941071289,-0.00261029590067566,-0.00724562764877772,0.00115415730312291,0.000533415188290263,0.0130358278607985,0.0135692430490887,15034,204,0.0135692430490887
"2019-03-01",0.0217375941071289,-0.00192168054634098,-0.00720437096748042,0.00129269836369878,-0.000314417810869187,0.0139042409570063,0.0135898231461371,16115,219,0.0135898231461371
"2019-04-01",0.0217375941071289,-0.00158531968090447,-0.00697862200221263,0.00187801127966434,-0.000484102336390104,0.0150516637036762,0.0145675613672861,17436,254,0.0145675613672861
"2019-05-01",0.0217375941071289,-0.00145107287968601,-0.00667692254275433,0.00178992058456256,0.000513067586952092,0.0153995192692512,0.0159125868562033,18853,300,0.0159125868562033
"2019-06-01",0.0217375941071289,-0.00117318896269455,-0.00644412061177441,0.00505749340665064,-0.000724134084768762,0.0191777779393106,0.0184536438545419,20267,374,0.0184536438545419
"2019-07-01",0.0217375941071289,-0.000758854121168603,-0.00627561490720158,0.00662005908886717,-0.00150781676740214,0.0213231841676259,0.0198153674002238,21448,425,0.0198153674002238
"2019-08-01",0.0217375941071289,-0.000680760750378058,-0.00597138058462878,0.00578256098438438,-0.00144502916395269,0.0208680137565065,0.0194229845925538,22911,445,0.0194229845925538
"2019-09-01",0.0217375941071289,-0.000710772805002778,-0.00562115488324001,0.00486329986878004,-0.00176403435646867,0.0202689662876662,0.0185049319311975,24534,454,0.0185049319311975
"2019-10-01",0.0217375941071289,-0.000557434192316263,-0.00527652105670012,0.00600594421401473,-0.00131771164576351,0.0219095830721273,0.0205918714263638,25884,533,0.0205918714263638
"2019-11-01",0.0217375941071289,-0.000894422297696586,-0.00483928910448925,0.00632154981312662,-0.00155655738026256,0.0223254325180697,0.0207688751378072,28119,584,0.0207688751378072
"2019-12-01",0.0217375941071289,-0.000952469561273409,-0.00456676478475579,0.00772872387553283,-0.00176233193392808,0.0239470836366326,0.0221847517027045,30246,671,0.0221847517027045
"2020-01-01",0.0217375941071289,-0.000800946099239974,-0.00447116496949993,0.00491855477853323,-0.00171333533629729,0.0213840378169223,0.019670702480625,32129,632,0.019670702480625
"2020-02-01",0.0217375941071289,-0.000422710877235664,-0.00454195183946798,0.000348183878291815,-0.000171460484588156,0.0171211152687171,0.016949654784129,33747,572,0.016949654784129
"2020-03-01",0.0217375941071289,0.000103106231499002,-0.00470026859513345,-0.00174039654920616,-0.000169152087757559,0.0154000351942883,0.0152308831065308,35126,535,0.0152308831065308
"2020-04-01",0.0217375941071289,0.000578938994656148,-0.00487650083382781,-0.00137861600719267,0.000362293403320933,0.0160614162607646,0.0164237096640855,36289,596,0.0164237096640855
"2020-05-01",0.0217375941071289,0.00122575517752829,-0.00506676540005724,0.00278327877428965,-0.000207892673570737,0.0206798626588896,0.0204719699853189,36782,753,0.0204719699853189
"2020-06-01",0.0217375941071289,0.00176046545699561,-0.0052258035472514,0.00633184180928345,-0.000638720493183928,0.0246040978261566,0.0239653773329727,36970,886,0.0239653773329727
"2020-07-01",0.0217375941071289,0.0023393298290183,-0.00539075872663649,0.00575633500587638,-0.000625199328022554,0.0244425002153871,0.0238173008873646,36738,875,0.0238173008873646
"2020-08-01",0.0217375941071289,0.00259493079140845,-0.00550004812061814,0.00438386794204521,-0.00101649163075698,0.0232163447199645,0.0221998530892075,36757,816,0.0221998530892075
